observation_id,scientific_name,condition_ba,observation_url,photo_id,photo_url,license_code,attribution,observed_on,latitude,longitude,local_path,folder_name,common_name
394572065,Erythrina crista-galli,Nativa,https://www.inaturalist.org/observations/394572065,723386383,https://inaturalist-open-data.s3.amazonaws.com/photos/723386383/medium.jpg,cc-by-nc,"(c) jmoraesv, some rights reserved (CC BY-NC)",2026-08-26,25.8536872864,100.1343841553,/content/gdrive/MyDrive/2026_IAA_GrupoC/dataset_raw/Erythrina_crista-galli/obs_394572065_photo_723386383.jpg,Erythrina_crista-galli,Ceibo
393705966,Erythrina crista-galli,Nativa,https://www.inaturalist.org/observations/393705966,721672296,https://inaturalist-open-data.s3.amazonaws.com/photos/721672296/medium.jpg,cc-by-nc,"(c) Tenaya, some rights reserved (CC BY-NC)",2025-01-31,-26.6520944125,153.0826247111,/content/gdrive/MyDrive/2026_IAA_GrupoC/dataset_raw/Erythrina_crista-galli/obs_393705966_photo_721672296.jpg,Erythrina_crista-galli,Ceibo
392904194,Erythrina crista-galli,Nativa,https://www.inaturalist.org/observations/392904194,720100888,https://inaturalist-open-data.s3.amazonaws.com/photos/720100888/medium.jpg,cc-by-nc,"(c) Charles Wilson, some rights reserved (CC BY-NC)",2026-08-20,-27.48525,153.1162716667,/content/gdrive/MyDrive/2026_IAA_GrupoC/dataset_raw/Erythrina_crista-galli/obs_392904194_photo_720100888.jpg,Erythrina_crista-galli,Ceibo
392832251,Erythrina crista-galli,Nativa,https://www.inaturalist.org/observations/392832251,719963105,https://inaturalist-open-data.s3.amazonaws.com/photos/719963105/medium.jpg,cc-by-nc,"(c) Luke Bull, some rights reserved (CC BY-NC)",2026-08-20,-27.6442201997,153.1381469,/content/gdrive/MyDrive/2026_IAA_GrupoC/dataset_raw/Erythrina_crista-galli/obs_392832251_photo_719963105.jpg,Erythrina_crista-galli,Ceibo
392624235,Erythrina crista-galli,Nativa,https://www.inaturalist.org/observations/392624235,719561110,https://inaturalist-open-data.s3.amazonaws.com/photos/719561110/medium.jpg,cc-by-nc,"(c) sophia wang, some rights reserved (CC BY-NC)",2026-08-19,44.849495,-0.5782366667,/content/gdrive/MyDrive/2026_IAA_GrupoC/dataset_raw/Erythrina_crista-galli/obs_392624235_photo_719561110.jpg,Erythrina_crista-galli,Ceibo
392214415,Erythrina crista-galli,Nativa,https://www.inaturalist.org/observations/392214415,718752162,https://inaturalist-open-data.s3.amazonaws.com/photos/718752162/medium.jpg,cc-by,"(c) Pablo H Capovilla, some rights reserved (CC BY)",2026-08-15,-28.281407,-59.2528149722,/content/gdrive/MyDrive/2026_IAA_GrupoC/dataset_raw/Erythrina_crista-galli/obs_392214415_photo_718752162.jpg,Erythrina_crista-galli,Ceibo
391768508,Erythrina crista-galli,Nativa,https://www.inaturalist.org/observations/391768508,717891060,https://inaturalist-open-data.s3.amazonaws.com/photos/717891060/medium.jpg,cc-by-nc,"(c) Arakawa T, some rights reserved (CC BY-NC)",2024-05-01,31.591005,130.593855,/content/gdrive/MyDrive/2026_IAA_GrupoC/dataset_raw/Erythrina_crista-galli/obs_391768508_photo_717891060.jpg,Erythrina_crista-galli,Ceibo
391662397,Erythrina crista-galli,Nativa,https://www.inaturalist.org/observations/391662397,717692544,https://inaturalist-open-data.s3.amazonaws.com/photos/717692544/medium.jpg,cc-by,"(c) Sofiia Panchyk, some rights reserved (CC BY)",2026-08-14,38.1125106667,13.3762378611,/content/gdrive/MyDrive/2026_IAA_GrupoC/dataset_raw/Erythrina_crista-galli/obs_391662397_photo_717692544.jpg,Erythrina_crista-galli,Ceibo
391540019,Erythrina crista-galli,Nativa,https://www.inaturalist.org/observations/391540019,717446162,https://inaturalist-open-data.s3.amazonaws.com/photos/717446162/medium.jpg,cc-by-nc,"(c) Enzo Suarez, some rights reserved (CC BY-NC)",2026-08-15,-33.8085391895,-59.4863488598,/content/gdrive/MyDrive/2026_IAA_GrupoC/dataset_raw/Erythrina_crista-galli/obs_391540019_photo_717446162.jpg,Erythrina_crista-galli,Ceibo
391395099,Erythrina crista-galli,Nativa,https://www.inaturalist.org/observations/391395099,717164504,https://inaturalist-open-data.s3.amazonaws.com/photos/717164504/medium.jpg,cc-by-nc,"(c) Jeygan Sanganithy, some rights reserved (CC BY-NC)",2026-08-15,-27.0683945,152.957825,/content/gdrive/MyDrive/2026_IAA_GrupoC/dataset_raw/Erythrina_crista-galli/obs_391395099_photo_717164504.jpg,Erythrina_crista-galli,Ceibo
